column_name,column_type,column_description,sample_value,ref_key
case_gdc_id,TEXT,GDC unique identifier,"[""aaa8da09-070c-4a31-a99e-720f1a0a964f"", ""ae4dd9c2-ddba-4da5-a372-4cfdeed0859e"", ""b610ac54-345f-453b-a109-0e1731f8989c""]",
project_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000187","[""CCLE""]",
case_barcode,TEXT,"Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc","[""EN"", ""H4"", ""MJ""]",
program_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000178","[""CCLE""]",
legacy_file_count,NUMBER,Total number of files for this case in the GDC legacy archive,"[1, 2]",
project_disease_type,TEXT,"The type of disease studied by the project; e.g. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc","[""Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma"", ""Brain Lower Grade Glioma"", ""Lymphoid Neoplasm Diffuse Large B-cell Lymphoma""]",
program_name,TEXT,"Program name, eg TCGA or TARGET","[""CCLE""]",
project_name,TEXT,Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc,"[""Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma"", ""Brain Lower Grade Glioma"", ""Lymphoid Neoplasm Diffuse Large B-cell Lymphoma""]",
active_file_count,NUMBER,Total number of files for this case in the active (default) GDC archive,[0],
project_id,TEXT,"ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc","[""CCLE-CESC"", ""CCLE-LGG"", ""CCLE-DLBC""]",
