column_name,column_type,column_description,sample_value,ref_key
end_date,NUMBER,,"[1503348292000000, 1523293873000000, 1521478513000000]",
trip_id,TEXT,Numeric ID of bike trip,"[""20170821170804431"", ""201804091702362074"", ""201803191639552778""]",
end_station_id,NUMBER,Numeric reference for end station,[222],
start_station_geom,BINARY,,"[""bytearray(b\""\\x01\\x01\\x00\\x00\\x00]zE\\x01\\xec\\x8f^\\xc0\\'\\xc9\\x84\\xa9w\\xe5B@\"")"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xec\\x9b\\xa0\\xf2\\xd4\\x90^\\xc0Rtn$\\x1a\\xe6B@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00t\\xb2\\xd4z?\\x90^\\xc0\\x8a\\xbc\\x9b]\\xad\\xe5B@')""]",
start_date,NUMBER,,"[1503335284000000, 1523293356000000, 1521477595000000]",
end_station_geom,BINARY,,"[""bytearray(b\""\\x01\\x01\\x00\\x00\\x00]zE\\x01\\xec\\x8f^\\xc0\\'\\xc9\\x84\\xa9w\\xe5B@\"")""]",
start_station_longitude,FLOAT,,"[-122.2487796, -122.2629973, -122.2538745]",
member_gender,TEXT,,"[""Male"", ""Other""]",
end_station_latitude,FLOAT,,[37.7927143],
bike_number,NUMBER,,"[431, 2074, 2778]",
start_station_name,TEXT,Station name for start station,"[""10th Ave at E 15th St"", ""10th St at Fallon St"", ""12th St at 6th Ave""]",
zip_code,TEXT,,[],
end_station_longitude,FLOAT,,[-122.2487796],
end_station_name,TEXT,Station name for end station,"[""10th Ave at E 15th St""]",
c_subscription_type,TEXT,,[],
duration_sec,NUMBER,,"[13008, 517, 917]",
start_station_id,NUMBER,Numeric reference for start station,"[222, 201, 221]",
start_station_latitude,FLOAT,,"[37.7927143, 37.7976728, 37.7943532]",
subscriber_type,TEXT,Type of the Subscriber,"[""Customer"", ""Subscriber""]",
member_birth_year,NUMBER,,"[1986.0, 1984.0, 1982.0]",
bike_share_for_all_trip,TEXT,,"[""No"", ""Yes""]",
