column_name,column_type,column_description,sample_value,ref_key
addresses,VARIANT,,"[""[]""]",
identifier,VARIANT,,"[""[]""]",
implicitRules,TEXT,,[],
priority,VARIANT,,[],
category,VARIANT,,"[""[]""]",
language,TEXT,,[],
outcomeCode,VARIANT,,"[""[]""]",
start,VARIANT,,[],
expressedBy,VARIANT,,[],
subject,VARIANT,,[],
meta,VARIANT,,[],
id,TEXT,,"[""946034c6-344e-4a31-8265-92f1be3d9d30"", ""98739dbb-162d-4fa0-840a-8d3599c994fc"", ""d56cc95b-8b0a-430f-ab36-2d605e3a2e46""]",
statusDate,TEXT,,[],
statusReason,TEXT,,[],
description,VARIANT,,"[""{\n  \""coding\"": [],\n  \""text\"": \""improved systolic function\""\n}""]",
target,VARIANT,,[],
text,VARIANT,,[],
outcomeReference,VARIANT,,"[""[]""]",
note,VARIANT,,"[""[]""]",
status,TEXT,,"[""achieved""]",
