column_name,column_type,column_description,sample_value,ref_key
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""sdl5HJ3F6QQRC4"", ""fkatt6XNjLQwck"", ""4cxK4grjyn1E4M""]",
CANVAS_API_ID,TEXT,,"[""MHI381yIfeZ0osy""]",
PLATFORM,TEXT,,"[""ios"", ""android""]",
USER_ID,TEXT,,"[""0lL7oak0UWagKyU"", ""1XulAf3cAOSwB3W"", ""0BlSnAPNt8tfJkp""]",
DISPATCH_ID,TEXT,,"[""jaf5O2aQrfAOmG"", ""opulEXaLouJBe3"", ""XisPSjKk6BLDrG""]",
LANGUAGE,TEXT,,"[""en""]",
TIME,NUMBER,,"[1693362990, 1685948542, 1682498789]",
AD_ID_TYPE,TEXT,,"[""19jfvxwFloTFnS"", ""rSkmxY5cWJtzfo"", ""2TCJKpmcEvCSyY""]",
GENDER,TEXT,,"[""M"", ""F""]",
SEND_ID,TEXT,,"[""ojO9BwpwoMHjGJ"", ""eBg9lWRCUSN4ME"", ""LFBH1WdfYreJ0R""]",
APP_GROUP_ID,TEXT,,"[""OkIYT1HbF7u"", ""JyWFOSKn8bq""]",
CANVAS_ID,TEXT,,"[""csTQRH4RZej6vk5""]",
APP_GROUP_API_ID,TEXT,,"[""d2qGAytBEHxCKd"", ""9Ey5arc0X1ngE1"", ""UpDe2DYWRkzGLy""]",
EXTERNAL_USER_ID,TEXT,,"[""Eua3Yh9JZix"", ""oz9bHRPuNzf"", ""yM9lrIe8QlG""]",
PUSH_TOKEN,TEXT,,"[""a1A28J8xYce44r"", ""WDK9fXCiIpXl0H"", ""EPbCUPa8d6j2ik""]",
CANVAS_STEP_API_ID,TEXT,,"[""X5NBQq5p7kfRyH8""]",
APP_API_ID,TEXT,,"[""QcPAT20UTW4oXS"", ""qpld31R0tVC5FY"", ""PUiSWBfCXt8OJx""]",
SF_CREATED_AT,NUMBER,,"[1693363551, 1685950583, 1682496075]",
CAMPAIGN_API_ID,TEXT,,"[""mGe0fKTh3FGyEYJ"", ""eYrdVcvfCGGEIRY"", ""H85VIOC0RCODZCc""]",
TIMEZONE,TEXT,,"[""America/Denver"", ""Asia/Singapore"", ""Indian/Chagos""]",
DEVICE_ID,TEXT,,"[""KDou8kfmZEatNb"", ""nBzrbuNGVn505V"", ""v4wexqU30pq0Vx""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""fi9Lh02q62AIbR"", ""Oq4sojYwFX9y6C"", ""bT4ureuVAxvpkB""]",
COUNTRY,TEXT,,"[""US""]",
AD_ID,TEXT,,"[""pkjsc4WNc5mVOX"", ""zcBvJwgBLqlBMC"", ""sn1kbaPK9JAiSf""]",
MESSAGE_VARIATION_API_ID,TEXT,,"[""nvIZW4Gc4cWmo0"", ""1rKOMlnzSQ7Wus"", ""ootTeZZe20idd1""]",
AD_TRACKING_ENABLED,BOOLEAN,,[true],
CAMPAIGN_ID,TEXT,,"[""lLAn04emOkXCNcO"", ""Diqz04IHvUzWzJ7"", ""P2ab6rsIUEO9ZUr""]",
ID,TEXT,,"[""stoQ4UJEZ3a1sR"", ""r24T4VZiJUW1mp"", ""Y37ogPWAHjIXOa""]",
