column_name,column_type,column_description,sample_value,ref_key
CANVAS_ID,TEXT,,[],
DEVICE_MODEL,TEXT,,"[""APPLE IPHONE XS MAX"", ""HUAWEI P30 PRO"", ""SAMSUNG GALAXY NOTE 10/10 PLUS""]",
MESSAGE_VARIATION_ID,TEXT,,"[""b2DToeX0ceG8RVI"", ""L1QwYdeUopimHfC"", ""j0KKs4lWfUFJFY6""]",
RESOLUTION,TEXT,,"[""l8UyRDx"", ""GIRfxqb"", ""UVn1RoJ""]",
SEND_ID,TEXT,,"[""zDeGwLq6nbEMUz"", ""fle8tgLI8f9vfI"", ""4LU4bH5J0EbEK2""]",
BROWSER,TEXT,,"[""eosqAod"", ""YoSJXxu"", ""HtCLKRv""]",
TIME,NUMBER,,"[1655733938, 1651275400, 1688419183]",
GENDER,TEXT,,"[""F"", ""M""]",
CARRIER,TEXT,,"[""YRnL7V1"", ""NmKmeWG"", ""lNQY9dL""]",
PLATFORM,TEXT,,"[""ios"", ""android""]",
OS_VERSION,TEXT,,"[""I9MeqAv"", ""mjJUFQh"", ""wJqAGsr""]",
CANVAS_STEP_ID,TEXT,,[],
CONTENT_CARD_ID,TEXT,,"[""ebgmwe7CYynLRU"", ""2yUEoCuNUs3C9N"", ""58zPvTIzsQGBPQ""]",
AD_TRACKING_ENABLED,BOOLEAN,,[true],
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""yxwVcSQXsJown5"", ""Q6DgoOLrlDDOSv"", ""Hk0BaCQuZ26CBV""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""t56OTvKJi2xzVI"", ""UnBTmuY5tqVoAv"", ""8ilUGhdoBCFWAk""]",
APP_ID,TEXT,,"[""WleeR6PnBPb"", ""cavgwlQbKmE""]",
MESSAGE_VARIATION_API_ID,TEXT,,"[""vtu9wB2m4ZdiI2"", ""AhgIXwvK9NW2kE"", ""FUpgntloAFJifR""]",
SF_CREATED_AT,TIMESTAMP_LTZ,,"[""2021-12-14 11:11:49.430000-08:00"", ""2021-12-14 11:11:49.001000-08:00"", ""2021-12-14 11:11:55.406000-08:00""]",
LANGUAGE,TEXT,,"[""en""]",
DEVICE_ID,TEXT,,"[""cYL72EjDk13qhf"", ""n3ZX3YxN5Aggbm"", ""80slFF0kt4TVf8""]",
CANVAS_STEP_API_ID,TEXT,,[],
APP_GROUP_ID,TEXT,,"[""OkIYT1HbF7u"", ""JyWFOSKn8bq""]",
AD_ID_TYPE,TEXT,,"[""PvUaTfv"", ""H00jed8"", ""T4adWsV""]",
CAMPAIGN_API_ID,TEXT,,"[""ZECE9F2ilMoTYqv"", ""qLhi6PTfltHckvk"", ""tnIQvsUxW2Iffwf""]",
COUNTRY,TEXT,,"[""US""]",
APP_API_ID,TEXT,,"[""UrIXfXZ"", ""vEtecGv"", ""JVzjvdq""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""RDZkGyejlHwYBP"", ""mV8VCUz7ndY75O"", ""9ibeP2eZUFPfnr""]",
CANVAS_VARIATION_ID,TEXT,,[],
ID,TEXT,,"[""MOVMPqFAaXttBD"", ""oEKb9QX01LcOhx"", ""mvtslUmY03dzoF""]",
TIMEZONE,TEXT,,"[""Asia/Singapore"", ""Europe/Oslo"", ""America/New_York""]",
