column_name,column_type,column_description,sample_value,ref_key
extension,TEXT,,"[""5467"", ""5176"", ""3453""]",
birthdate,TEXT,,"[""1948-12-08"", ""1937-09-19"", ""1955-03-04""]",
lastname,TEXT,,"[""Davolio"", ""Peacock"", ""Buchanan""]",
firstname,TEXT,,"[""Nancy"", ""Margaret"", ""Steven""]",
photo,TEXT,,"[""\\x""]",
postalcode,TEXT,,"[""98122"", ""98052"", ""SW1 8JR""]",
titleofcourtesy,TEXT,,"[""Ms."", ""Mrs."", ""Mr.""]",
city,TEXT,,"[""Seattle"", ""Redmond"", ""London""]",
country,TEXT,,"[""USA"", ""UK""]",
notes,TEXT,,"[""Education includes a BA in psychology from Colorado State University in 1970.  She also completed The Art of the Cold Call.  Nancy is a member of Toastmasters International."", ""Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992."", ""Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses Successful Telemarketing and International Sales Management.  He is fluent in French.""]",
title,TEXT,,"[""Sales Representative"", ""Sales Manager""]",
hiredate,TEXT,,"[""1992-05-01"", ""1993-05-03"", ""1993-10-17""]",
photopath,TEXT,,"[""http://accweb/emmployees/davolio.bmp"", ""http://accweb/emmployees/peacock.bmp"", ""http://accweb/emmployees/buchanan.bmp""]",
homephone,TEXT,,"[""(206) 555-9857"", ""(206) 555-8122"", ""(71) 555-4848""]",
reportsto,FLOAT,,"[2.0, 5.0]",
address,TEXT,,"[""507 - 20th Ave. E.\\nApt. 2A"", ""4110 Old Redmond Rd."", ""14 Garrett Hill""]",
region,TEXT,,"[""WA"", """"]",
employeeid,NUMBER,,"[1, 4, 5]",
