column_name,column_type,column_description,sample_value,ref_key
layer_name,TEXT,,"[""pub""]",
osm_id,NUMBER,,"[739408187, 551255323, 9072218954]",
all_tags,VARIANT,,"[""[\n  {\n    \""key\"": \""amenity\"",\n    \""value\"": \""pub\""\n  }\n]"", ""[\n  {\n    \""key\"": \""amenity\"",\n    \""value\"": \""pub\""\n  },\n  {\n    \""key\"": \""outdoor_seating\"",\n    \""value\"": \""yes\""\n  }\n]"", ""[\n  {\n    \""key\"": \""amenity\"",\n    \""value\"": \""pub\""\n  },\n  {\n    \""key\"": \""name\"",\n    \""value\"": \""Taras Robinson\""\n  },\n  {\n    \""key\"": \""website\"",\n    \""value\"": \""https://www.facebook.com/Taras-Robinson-411712232213624/\""\n  }\n]""]",
osm_way_id,NUMBER,,"[551255323.0, 344327427.0]",
geometry,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd7\\xb8\\xa3\\xa4,h4@a}\\xa8\\xd9\\xa8\\x98I@')"", ""bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\x08\\x00\\x00\\x00J\\xb7%r\\xc1\\xdd3@\\xc3\\x95\\xa2K\\xee\\x8aI@6\\x1b\\xe1\\xa3\\xb4\\xdd3@\\x04/D\\x98\\xec\\x8aI@\\xbb\\x91h\\xb8\\xb7\\xdd3@\\x9f\\x13\\xe7M\\xea\\x8aI@\\xac\\x88\\x06\\xce\\xbe\\xdd3@|\\xdb\\xa7>\\xeb\\x8aI@\\xaa\\xf3\\xa8\\xf8\\xbf\\xdd3@\\xffI2a\\xea\\x8aI@\\xc5\\x98O\\xb1\\xc5\\xdd3@\\xe1\\xe8\\xcf#\\xeb\\x8aI@\\xf5\\xacZ\\x88\\xc4\\xdd3@^zE\\x01\\xec\\x8aI@J\\xb7%r\\xc1\\xdd3@\\xc3\\x95\\xa2K\\xee\\x8aI@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xcc*\\xc7\\xbf*<4@\\xca\\x88\\x0b@\\xa3\\xe0I@')""]",
gdal_type,TEXT,,[],
layer_code,NUMBER,,[2304],
osm_timestamp,NUMBER,,"[1274267479000000, 1515244778000000, 1631054675000000]",
osm_version,NUMBER,,"[2, 1, 5]",
layer_class,TEXT,,"[""poi_catering""]",
