column_name,column_type,column_description,sample_value,ref_key
tags,TEXT,,"[""c++|messagebox"", ""iphone|c++|objective-c|boost|frameworks"", ""javascript|jquery|angularjs""]",
last_editor_display_name,TEXT,,[],
score,NUMBER,,"[0, 1]",
comment_count,NUMBER,,[6],
last_edit_date,NUMBER,,"[1340681729687000.0, 1424189883003000.0]",
parent_id,NUMBER,,[],
favorite_count,NUMBER,,[2.0],
creation_date,NUMBER,,"[1363401623070000, 1340634238713000, 1424189571270000]",
answer_count,NUMBER,,[1],
body,TEXT,,"[""<p>I am not quite sure why this is happening. I am just trying to output the key pressed. Breakpoint shows the correct letter stored in the pressed variable. Project is set to Unicode.</p> <pre><code>case WM_CHAR: { const wchar_t pressed = LOWORD(wParam); ::MessageBox(hWnd &amp;pressed L Key Pressed  MB_OK); } </code></pre>"", ""<p>I am trying to run my web application under tomcat7 with ubuntu 11.10. And I reset the port to 80 by using authbind. And it is working well when there is no app added to the /webapps/ folder. For example I can access example.com to the tomcat default start page.</p> <p>Then I tried to add my web application into the webapps/ folder and restarted the server. Afterwards I can not visit both the default page or my web apps. I checked the tomcat process and found that the server is stopped a while after I tried to access the pages(no matter the tomcat default page or my app).</p> <p>There are some details about my app the package is about 70MB and using large memory to initialize many objects for the app. I guess it is because of the JVM crash but I have no idea how to locate the issue.</p>""]",
owner_display_name,TEXT,,[],
title,TEXT,,"[""C++ Win32 MessageBox weird output"", ""Need help getting Fuego to compile in Xcode - boost version compatibility?"", ""Adding additional table rows using Angular after using ng-repeat""]",
community_owned_date,NUMBER,,[],
id,NUMBER,,"[15444977, 11191179, 28565862]",
last_activity_date,NUMBER,,"[1363402613067000, 1340681729687000, 1424191413653000]",
last_editor_user_id,NUMBER,,"[18961.0, 4342406.0]",
owner_user_id,NUMBER,,"[1886489, 18961, 4342406]",
post_type_id,NUMBER,,[1],
view_count,NUMBER,,"[252, 231, 146]",
accepted_answer_id,NUMBER,,[24878467.0],
